ID;TTW;FeedMode;T_SP;Total Rich;Total Lean;O2 rich;CO rich;CO2 rich;NO rich;NO2 rich;NH3 rich;N2O rich;H2 rich;SO2 rich;C2H4 rich;C3H6 rich;C3H8 rich;CH4 rich;H2O rich;O2 lean;CO lean;CO2 lean;NO lean;NO2 lean;NH3 lean;N2O lean;H2 lean;SO2 lean;C2H4 lean;C3H6 lean;C3H8 lean;CH4 lean;H2O lean
1;200;3;352.38;104.6586;0;0.947022093;0.596118309;16.28481605;0.260859092;0;0;0;0;0;0;0.107961409;0;0;14.31466;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;200;3;352.07;102.3056;0;0.809180829;0.573748739;16.29964029;0.258862773;0;0;0;0;0;0;0.108620621;0;0;14.31406;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;200;3;351.75;98.61953;0;1.308836076;0.552767807;16.30824266;0.256341404;0;0;0;0;0;0;0.109405475;0;0;14.30959;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;200;3;351.11;97.67628;0;0.540471822;0.53481781;16.31230435;0.25299119;0;0;0;0;0;0;0.110304532;0;0;14.30334;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;200;3;350.8;97.31163;0;1.04805598;0.522809415;16.31270015;0.248388175;0;0;0;0;0;0;0.111355146;0;0;14.29745;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;200;3;350.16;96.17953;0;1.172864857;0.506405319;16.31191491;0.241658128;0;0;0;0;0;0;0.112496001;0;0;14.28842;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;200;3;349.53;94.21209;0;0.978404567;0.485726641;16.31186008;0.232627943;0;0;0;0;0;0;0.113565095;0;0;14.27771;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;200;3;348.57;91.25302;0;0.2;0.48693757;16.31688198;0.221702637;0;0;0;0;0;0;0.114604324;0;0;14.28203;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;200;3;347.94;87.77907;0;0.636469814;0.508789037;16.31910458;0.20842991;0;0;0;0;0;0;0.115811352;0;0;14.29493;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;200;3;347.62;78.23907;0;1.48602327;0.522749212;16.31337112;0.192775929;0;0;0;0;0;0;0.117060856;0;0;14.29791;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;200;3;347.3;71.30558;0;1.171705712;0.510378882;16.30721318;0.175905659;0;0;0;0;0;0;0.11778273;0;0;14.28701;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;200;3;347.62;64.37209;0;1.284726329;0.476946558;16.31587752;0.158282653;0;0;0;0;0;0;0.11781819;0;0;14.27614;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;200;3;348.57;51.2907;0;1.33377287;0.446006309;16.33390527;0.14027503;0;0;0;0;0;0;0.117359153;0;0;14.27341;0;0;0;0;0;0;0;0;0;0;0;0;0;0
